

"OTU Board Wavelength Info Report"
"Save Time: 01/02/2015 11:12:31"
"User Name:c1ghutx8"
""

"Total 3,909 Records"

"NE Name","NE Type","NE ID","Slot No.","Board Name","Port No.","Port Name","Wavelength(Band/No./Wavelength/Frequency)"
CDMNXTCMO0M.01,OptiX OSN 1800,12-1320,Shelf0(REPISA 1)-1,LQM2,1,1(IN1/OUT1_1/2.5Gb/193.00/CDMNXTCMO0M-CDMNXTILO01),C/62/1553.33nm/193.000THz
CDMNXTCMO0M.01,OptiX OSN 1800,12-1320,Shelf0(REPISA 1)-1,LQM2,2,2(IN2/OUT2),/
CDMNXTILO01.01,OptiX OSN 1800,12-1321,Shelf0(REPISA 1)-2,LOE,1,1(IN1/OUT1_2/10Gb/193.10/CDMNXTCMO0M-CDMNXTILO01),C/60/1552.52nm/193.100THz
CDMNXTILO01.01,OptiX OSN 1800,12-1321,Shelf0(REPISA 1)-1,LQM2,1,1(IN1/OUT1_1/2.5Gb/193.00/CDMNXTCMO0M-CDMNXTILO01),C/62/1553.33nm/193.000THz
CDMNXTILO01.01,OptiX OSN 1800,12-1321,Shelf0(REPISA 1)-1,LQM2,2,2(IN2/OUT2),/
CDSRPBCSO02.01,OptiX OSN 1800,12-2336,Shelf0(REPISA 1)-2,LQM2,1,1(IN1/OUT1_1/2.5Gb/192.90/CDSRPBCSO02-ESPZPBEPO0C),C/64/1554.13nm/192.900THz
CDSRPBCSO02.01,OptiX OSN 1800,12-2336,Shelf0(REPISA 1)-2,LQM2,2,2(IN2/OUT2),/
CDSRPBCSO02.01,OptiX OSN 1800,12-2336,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_2/10Gb/193.60/CDSRPBCSO02-ESPZPBEPO0C),C/50/1548.51nm/193.600THz
CDVCXTANO1G.01,OptiX OSN 1800,12-1337,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/192.9/CDVCXTANO1G-CDVCXTCVO0N),C/64/1554.13nm/192.900THz
CDVCXTANO1G.01,OptiX OSN 1800,12-1337,Shelf0(REPISA 1)-2,LSX,1,1(IN/OUT_2/10Gb/192.9/CDVCXTANO1G-CDVCXTCVO0N),C/62/1553.33nm/193.000THz
CDVCXTANO1G.01,OptiX OSN 1800,12-1337,Shelf0(REPISA 1)-3,LOE,1,1(IN1/OUT1_2/10GB/193.1/CDVCXTANO1G-CDVCXTCVNO0N),C/60/1552.52nm/193.100THz
CDVCXTANO1G.01,OptiX OSN 1800,12-1337,Shelf0(REPISA 1)-4,LOE,1,1(IN1/OUT1_3/10GB/193.2/CDVCXTANO1G-CDVCXTCVNO0N),C/58/1551.72nm/193.200THz
CDVCXTCVO0N.01,OptiX OSN 1800,12-1338,Shelf0(REPISA 1)-2,LSX,1,1(IN/OUT_2/10Gb/192.9/CDVCXTANO1G-CDVCXTCVO0N),C/62/1553.33nm/193.000THz
CDVCXTCVO0N.01,OptiX OSN 1800,12-1338,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/192.9/CDVCXTANO1G-CDVCXTCVO0N),C/64/1554.13nm/192.900THz
CDVCXTCVO0N.01,OptiX OSN 1800,12-1338,Shelf0(REPISA 1)-3,LOE,1,1(IN1/OUT1_2/10GB/193.1/CDVCXTANO1G-CDVCXTCVNO0N),C/60/1552.52nm/193.100THz
CDVCXTCVO0N.01,OptiX OSN 1800,12-1338,Shelf0(REPISA 1)-4,LOE,1,1(IN1/OUT1_3/10GB/193.2/CDVCXTANO1G-CDVCXTCVNO0N),C/58/1551.72nm/193.200THz
CDVCXTMMO02.01,OptiX OSN 1800,12-1123,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_2/10Gb/193.30/CDVCXTANO17-CDVCXTMMO02),C/56/1550.92nm/193.300THz
CDVCXTMMO02.01,OptiX OSN 1800,12-1123,Shelf0(REPISA 1)-2,LQM2,1,1(IN1/OUT1_1/2.5Gb/192.90/CDVCXTANO17-CDVCXTMMO02),C/64/1554.13nm/192.900THz
CDVCXTMMO02.01,OptiX OSN 1800,12-1123,Shelf0(REPISA 1)-2,LQM2,2,2(IN2/OUT2),/
